mut_id,mut_type,0,25,50
249,m1,100,103,139
250,m1,100,140,156
251,m1,100,69,65
252,m1,100,97,107
253,m1,100,67,37
254,m1,100,46,36
255,m1,100,86,110
256,m1,100,145,132
257,m1,100,115,91
258,m1,100,103,170
259,m1,100,141,171
260,m1,100,137,139
261,m1,100,67,42
262,m1,100,81,103
263,m1,100,105,190
264,m1,100,72,74
265,m1,100,98,84
266,m1,100,55,58
267,m1,100,98,193
268,m1,100,132,104
269,m1,100,121,187
270,m1,100,100,108
271,m1,100,64,90
272,m1,100,44,8
273,m1,100,107,116
274,m1,100,64,65
275,m1,100,135,151
276,m1,100,98,84
277,m1,100,105,131
278,m1,100,106,124
279,m1,100,171,149
280,m1,100,89,79
281,m1,100,91,87
282,m1,100,36,81
283,m1,100,51,57
284,m1,100,123,110
285,m1,100,113,145
286,m1,100,130,135
287,m1,100,150,152
288,m1,100,40,39
289,m1,100,156,169
290,m1,100,135,136
291,m1,100,100,99
292,m1,100,36,0
293,m1,100,100,69
294,m1,100,138,104
295,m1,100,142,163
296,m1,100,85,84
297,m1,100,104,116
298,m1,100,43,35
299,m1,100,167,193
300,m1,100,101,106
301,m1,100,100,184
302,m1,100,132,97
303,m1,100,39,44
304,m1,100,135,137
305,m1,100,50,43
306,m1,100,89,55
307,m1,100,111,75
308,m1,100,106,104
309,m1,100,78,138
310,m1,100,169,191
311,m1,100,75,133
312,m1,100,77,52
313,m1,100,106,129
314,m1,100,117,137
315,m1,100,90,104
316,m1,100,85,67
317,m1,100,106,25
318,m1,100,74,63
319,m1,100,89,82
320,m1,100,92,105
321,m1,100,82,110
322,m1,100,110,85
323,m1,100,140,126
324,m1,100,102,98
325,m1,100,136,158
326,m1,100,130,133
327,m1,100,137,176
328,m1,100,178,155
329,m1,100,97,85
330,m1,100,91,113
331,m1,100,42,62
332,m1,100,123,149
333,m1,100,123,184
334,m1,100,86,62
335,m1,100,62,55
336,m1,100,108,151
337,m1,100,78,60
338,m1,100,130,132
339,m1,100,38,43
340,m1,100,60,49
341,m1,100,116,89
342,m1,100,76,65
343,m1,100,100,100
344,m1,100,68,77
345,m1,100,107,99
346,m1,100,173,169
347,m1,100,120,85
348,m1,100,56,37
349,m1,100,91,69
350,m1,100,150,165
351,m1,100,77,61
352,m1,100,75,101
353,m1,100,98,118
354,m1,100,51,19
355,m1,100,45,28
356,m1,100,120,84
357,m1,100,150,134
358,m1,100,89,115
359,m1,100,135,70
360,m1,100,80,74
361,m1,100,64,69
362,m1,100,128,71
363,m1,100,62,57
364,m1,100,67,33
365,m1,100,142,127
366,m1,100,124,138
367,m1,100,107,118
368,m1,100,115,109
369,m1,100,115,141
370,m1,100,147,182
371,m1,100,106,146
372,m1,100,70,72
373,m1,100,55,52
374,m1,100,120,154
375,m1,100,133,158
376,m1,100,93,87
377,m1,100,90,50
378,m1,100,52,9
379,m1,100,37,21
380,m1,100,109,100
381,m1,100,84,158
382,m1,100,100,68
383,m1,100,115,92
384,m1,100,122,160
385,m1,100,87,67
386,m1,100,69,17
387,m1,100,100,52
388,m1,100,152,129
389,m1,100,69,52
390,m1,100,69,42
391,m1,100,58,46
392,m1,100,76,116
393,m1,100,124,190
394,m1,100,119,78
395,m1,100,82,114
396,m1,100,28,45
397,m1,100,68,97
398,m1,100,101,146
399,m1,100,75,70
400,m1,100,91,49
401,m1,100,118,134
402,m1,100,31,34
403,m1,100,76,115
404,m1,100,75,48
405,m1,100,106,127
406,m1,100,138,94
407,m1,100,60,69
408,m1,100,128,81
409,m1,100,17,2
410,m1,100,25,5
411,m1,100,92,86
412,m1,100,121,114
413,m1,100,69,70
414,m1,100,118,132
415,m1,100,123,105
416,m1,100,150,162
417,m1,100,103,119
418,m1,100,124,116
419,m1,100,116,109
420,m1,100,123,68
421,m1,100,78,74
422,m1,100,67,87
423,m1,100,116,91
424,m1,100,95,78
425,m1,100,87,55
426,m1,100,123,102
427,m1,100,103,96
428,m1,100,108,118
429,m1,100,84,119
430,m1,100,90,51
431,m1,100,70,66
432,m1,100,81,75
433,m1,100,103,108
434,m1,100,111,126
435,m1,100,92,100
436,m1,100,55,35
437,m1,100,97,122
438,m1,100,108,117
439,m1,100,149,174
440,m1,100,122,120
441,m1,100,104,117
442,m1,100,44,92
443,m1,100,133,101
444,m1,100,153,198
445,m1,100,122,136
446,m1,100,110,100
447,m1,100,86,141
448,m1,100,58,8
449,m1,100,41,116
450,m1,100,143,173
